trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.9899008870124820,0.8427514433860780,1.4373952150344800,1.5208710432052600,0.5,1.0931332111358600,1.1401211023330700,1.5079814195632900
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.700674295425415,0.763701319694519,0.8365368843078610,1.5513134002685500,0.5,0.8858165144920350,1.313567876815800,1.3726292848587000
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.6547672748565670,0.6777706146240230,1.5109567642211900,1.230271339416500,0.5,1.174739956855770,1.0221997499465900,1.3900983333587600
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,1.0214656591415400,0.7445152997970580,1.3181043863296500,1.3488259315490700,0.5,1.3143422603607200,1.3980149030685400,1.3576796054840100
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.7078920006752010,0.6529643535614010,1.442141056060790,1.7639552354812600,0.5,1.3846278190612800,1.2279695272445700,1.2531901597976700
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.8473939895629880,1.0967289209365800,1.0510668754577600,1.1424469947814900,0.5,0.9439301490783690,0.8961097002029420,1.3614730834960900
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.798359215259552,0.9409199357032780,0.7161058187484740,1.4683769941330000,0.5,1.0461848974227900,1.2861419916153000,1.315087080001830
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,1.0457128286361700,0.8707206845283510,1.1820539236068700,1.3978172540664700,0.5,1.056438684463500,1.1860145330429100,1.282515525817870
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,0.5872622132301330,0.9063051342964170,1.121412754058840,1.2305335998535200,0.5,1.5881825685501100,1.2248095273971600,1.8133357763290400
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,1.1992610692977900,0.8058710694313050,1.2958741188049300,1.3623151779174800,0.5,0.9905503392219540,0.9524201154708860,1.2424649000167800
