submission_id,condition,experiment_duration,experiment_end_time,experiment_start_time,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trial,trial_nr
122,production,69600,1691397452592,1691397382992,60e48eec877235a629691790,64d0ad015126d599e0fae96f,64d090c81fcb15c17edd96da,red,18060,44,1
122,production,69600,1691397452592,1691397382992,60e48eec877235a629691790,64d0ad015126d599e0fae96f,64d090c81fcb15c17edd96da,circle,7732,90,2
122,interpretation,69600,1691397452592,1691397382992,60e48eec877235a629691790,64d0ad015126d599e0fae96f,64d090c81fcb15c17edd96da,a green circle with dots,23122,57,3
122,interpretation,69600,1691397452592,1691397382992,60e48eec877235a629691790,64d0ad015126d599e0fae96f,64d090c81fcb15c17edd96da,a green hexagon with spades,13972,94,4
123,production,103346,1691397468198,1691397364852,5cc076320004360001ed90dc,64d0acec9fa7b866fa4ecc03,64d090c81fcb15c17edd96da,square,25929,65,1
123,production,103346,1691397468198,1691397364852,5cc076320004360001ed90dc,64d0acec9fa7b866fa4ecc03,64d090c81fcb15c17edd96da,orange,2233,26,2
123,interpretation,103346,1691397468198,1691397364852,5cc076320004360001ed90dc,64d0acec9fa7b866fa4ecc03,64d090c81fcb15c17edd96da,a orange circle with dots,45200,24,3
123,interpretation,103346,1691397468198,1691397364852,5cc076320004360001ed90dc,64d0acec9fa7b866fa4ecc03,64d090c81fcb15c17edd96da,a green hexagon with spades,18891,94,4
124,production,95232,1691398887261,1691398792029,63ee1884534ecc3f58e7bb8a,64d0b28247077314a421e9e0,64d090c81fcb15c17edd96da,hexagon,17650,60,1
124,production,95232,1691398887261,1691398792029,63ee1884534ecc3f58e7bb8a,64d0b28247077314a421e9e0,64d090c81fcb15c17edd96da,stripes,12499,13,2
124,interpretation,95232,1691398887261,1691398792029,63ee1884534ecc3f58e7bb8a,64d0b28247077314a421e9e0,64d090c81fcb15c17edd96da,a red circle with stars,43532,89,3
