trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-6.350095748901367,-9.725337982177734,-3.909381866455078,-6.62891960144043,3.1750478744506836,4.862668991088867,1.954690933227539,3.314459800720215,0.18371459726684436,0.03397966763347911,0.6224979858913336,0.15980774920834295,0.20240222116186024,0.47062776315944443,0.10995579714129718,0.2170142185373981,0.5,-4.381224155426025,-4.888789176940918,-6.9581708908081055,0.5959598913706075,0.3587437505770856,0.04529635805230698,0.7302039265632629,0.8147981762886047,1.1596951484680176,0.275881018484541,0.3002345282423186,0.42388445327314034
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-6.7654218673706055,-7.258771896362305,-8.086243629455566,-8.945953369140625,2.255140542984009,2.419590711593628,2.0215609073638916,4.4729766845703125,0.3796275511371095,0.29663891626346384,0.19613040359238876,0.12760312900703788,0.16648493301895714,0.1807527178159535,0.14813366308438963,0.5046286860806998,0.5,-8.25810432434082,-9.176433563232422,-21.841896057128906,0.714700910337391,0.2852981885925845,9.01070024410382e-07,1.0322630405426025,1.3109190464019775,3.1202709674835205,0.09624474022357095,0.12717325005827446,0.7765820097181546
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-6.860127925872803,-5.900869369506836,-6.3813886642456055,-4.927807331085205,2.2867095470428467,1.475217342376709,3.1906943321228027,1.6426024436950684,0.15352119897163188,0.2480097201932357,0.19504070733766127,0.4034283734974712,0.25236091586582166,0.16819334257857618,0.39657003608001473,0.18287570547558746,0.5,-10.999881744384766,-5.6450371742248535,-7.541459083557129,0.004091688019419127,0.8659283546197852,0.12997995736079557,1.8333138227462769,0.9408395290374756,1.0773513317108154,0.5321415131062558,0.21798694209318772,0.24987154480055648
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-7.252580642700195,-8.650289535522461,-9.609763145446777,-6.879459381103516,3.6262903213500977,2.883429765701294,4.804881572723389,3.439729690551758,0.33222987577876917,0.16516957605873825,0.10223109367282973,0.4003694544896628,0.2270970682554517,0.15663954307150457,0.40939201350287174,0.20687137517017207,0.5,-7.953752517700195,-4.277129173278809,-21.760639190673828,0.024683588100743142,0.9753163870018797,2.4897377046339702e-08,1.3256253004074097,0.8554258346557617,3.626772880554199,0.08612883996679083,0.05381998402950597,0.8600511760037033
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-7.770742893218994,-3.720376968383789,-9.603679656982422,-5.793150901794434,2.590247869491577,1.2401256561279297,4.801839828491211,2.896575450897217,0.08572342878637483,0.6495690428911599,0.03428328054848729,0.2304242477739779,0.1755534811846673,0.08937872030128202,0.5304574312177719,0.2046103672962788,0.5,-8.749677658081055,-5.922773838043213,-16.84320068359375,0.055886586466709694,0.9440963395365279,1.7073996762352443e-05,1.7499357461929321,0.9871289134025574,2.8072001934051514,0.2301579896633596,0.10733546875344996,0.6625065415831903
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-6.780396938323975,-8.532369613647461,-9.272791862487793,-8.226823806762695,3.3901984691619873,4.2661848068237305,3.090930700302124,2.742274522781372,0.4567799406454575,0.19022648849374255,0.13136822823022806,0.22162534263057185,0.24190259953289367,0.3748508946751026,0.20828373889818436,0.1749627668938194,0.5,-5.254724502563477,-13.349536895751953,-4.669597148895264,0.35771459790952753,0.00010914511659769095,0.6421762569738748,0.750674843788147,1.6686921119689941,0.7782662510871887,0.22063873993865277,0.552550024443044,0.22681123561830321
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-6.965259552001953,-5.805120468139648,-3.751532554626465,-7.571460723876953,2.3217532634735107,2.902560234069824,0.9378831386566162,3.7857303619384766,0.11748352268421806,0.20984467899072945,0.5859073023591722,0.08676449596588016,0.2033849617350176,0.2719189466796838,0.10181581890447487,0.4228802726808238,0.5,-8.809959411621094,-8.887073516845703,-19.366268157958984,0.5192619602286208,0.4807245240300736,1.3515741305484722e-05,1.2585656642913818,1.269581913948059,3.2277114391326904,0.1089843317253261,0.11019156772995949,0.7808241005447143
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-7.889684677124023,-5.302132606506348,-6.873421669006348,-7.807875156402588,3.9448423385620117,2.651066303253174,3.436710834503174,3.903937578201294,0.13604580715252979,0.4960951195537796,0.22613296124777135,0.14172611204591923,0.30496460517034923,0.1597017005547105,0.23654299045197538,0.2987907038229648,0.5,-5.447902202606201,-8.343870162963867,-16.83983612060547,0.9476366232706369,0.05235268155676122,1.0695172601962393e-05,0.9079837203025818,1.390645146369934,2.8066394329071045,0.10755817871811639,0.17428524997985223,0.7181565713020314
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.112953186035156,-6.7402143478393555,-14.959793090820312,-4.504970073699951,1.028238296508789,3.3701071739196777,4.986597537994385,2.2524850368499756,0.47726783910900084,0.12830974967500045,0.0021057209203451687,0.3923166902956536,0.0751532079285177,0.24236945632588672,0.5438690076161391,0.13860832812945642,0.5,-10.665093421936035,-4.935176849365234,-24.63172149658203,0.003236836994585496,0.9967631602225547,2.782859789064572e-09,2.133018732070923,0.9870353937149048,4.105287075042725,0.1175796697143776,0.03737988799315806,0.8450404422924643
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-7.04670524597168,-9.603544235229492,-10.877988815307617,-5.282517433166504,3.52335262298584,4.801772117614746,3.6259963512420654,2.641258716583252,0.2603029480220089,0.07248840679408763,0.0383289065892654,0.6288797385946381,0.21781714050644993,0.41275972875319017,0.22928775113109423,0.14013537960926564,0.5,-5.1495280265808105,-7.395933151245117,-6.12016487121582,0.6735728080134403,0.07124972569865612,0.25517746628790355,0.7356468439102173,1.056561827659607,1.0200275182724,0.2697361112748924,0.3718011242797755,0.3584627644453322
