submission_id,condition,response_raw,responseTime,item,trial_nr,objects,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,response,prediction,position_production,position_interpretation,position,feature_set
122,production,red,18060,44,1,"a green hexagon with stripes
a red triangle with stripes
a green triangle with stripes","red
hexagon
green
triangle",color,texture,red,triangle,green,hexagon,0,3,2,1,red triangle with stripes,green,green triangle with stripes,green hexagon with stripes,red triangle with stripes,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green hexagon with stripes
a red triangle with stripes
a green triangle with stripes

Your task is to make your friend pick out the following target object:

the red triangle with stripes

Which of the following words would you choose:

red
hexagon
green
triangle

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green hexagon with stripes
a red triangle with stripes
a green triangle with stripes

Your friend can choose from the following list of words:

red
hexagon
green
triangle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.9517943333333334,-5.497732,-7.712010666666667,-5.77778812261225,0.6188301130131243,0.17327188453329295,0.05726688963656911,0.15063111281701366,0.5,-2.5013991378221996,-2.6465457366449567,-3.6430157575635,0.40079098835109794,0.37273464760386565,0.22647436404503649,target,target,"[t,d,d,c]","[c,d,t]","[t,d,d,c]",color-texture
122,production,circle,7732,90,2,"a blue triangle with spades
a blue circle with stripes
a blue triangle with stripes","spades
stripes
circle
triangle",shape,color,circle,stripes,triangle,spades,2,1,3,0,blue circle with stripes,triangle,blue triangle with stripes,blue triangle with spades,blue circle with stripes,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with spades
a blue circle with stripes
a blue triangle with stripes

Your task is to make your friend pick out the following target object:

the blue circle with stripes

Which of the following words would you choose:

spades
stripes
circle
triangle

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with spades
a blue circle with stripes
a blue triangle with stripes

Your friend can choose from the following list of words:

spades
stripes
circle
triangle

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.671049333333333,-5.14505575,-6.661475,-5.75554493575,0.6097050873958667,0.17696857397430224,0.08291056889010864,0.13041576973972235,0.5,-2.1837592551991167,-2.0938090000382714,-5.4947791781666675,0.4470279732871461,0.46759208392574586,0.08537994278710799,target,target,"[d,c,t,d]","[c,d,t]","[d,c,t,d]",shape-color
122,interpretation,a green circle with dots,23122,57,3,"a green circle with dots
a green circle with spades
a green hexagon with dots","circle
spades
dots
hexagon",shape,color,hexagon,dots,circle,spades,3,2,0,1,green hexagon with dots,circle,green circle with dots,green circle with spades,green hexagon with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green circle with dots
a green circle with spades
a green hexagon with dots

Your task is to make your friend pick out the following target object:

the green hexagon with dots

Which of the following words would you choose:

circle
spades
dots
hexagon

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green circle with dots
a green circle with spades
a green hexagon with dots

Your friend can choose from the following list of words:

circle
spades
dots
hexagon

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-1.27120301706908,-8.73552,-8.818853333333333,-5.74364364929,0.866726272402072,0.02075038327020961,0.01990354886375889,0.09261979546395956,0.5,-2.0479927901086667,-3.298967224905114,-5.196140322614286,0.5739868860018317,0.3070833877295308,0.11892972626863756,target,target,"[d,d,c,t]","[t,c,d]","[t,c,d]",shape-color
122,interpretation,a green hexagon with spades,13972,94,4,"a green triangle with spades
a green hexagon with spades
a green hexagon with stars","stars
triangle
spades
hexagon",shape,color,triangle,spades,hexagon,stars,1,2,3,0,green triangle with spades,hexagon,green hexagon with spades,green hexagon with stars,green triangle with spades,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with spades
a green hexagon with spades
a green hexagon with stars

Your task is to make your friend pick out the following target object:

the green triangle with spades

Which of the following words would you choose:

stars
triangle
spades
hexagon

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with spades
a green hexagon with spades
a green hexagon with stars

Your friend can choose from the following list of words:

stars
triangle
spades
hexagon

Your friend chose the word:

hexagon

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.6556771666666665,-3.87314525,-5.560473166547735,-7.049912,0.5293328067315547,0.28797777776829836,0.12386835623026662,0.05882105926988015,0.5,-1.5755041227335502,-2.7500628234493716,-3.4255066575105713,0.5121984189505615,0.2846990725449535,0.20310250850448505,target,target,"[d,t,c,d]","[d,t,c]","[d,t,c]",shape-color
123,production,square,25929,65,1,"a red triangle with stripes
a red square with dots
a red square with stripes","dots
square
stripes
triangle",texture,color,dots,square,stripes,triangle,0,1,2,3,red square with dots,stripes,red square with stripes,red triangle with stripes,red square with dots,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red triangle with stripes
a red square with dots
a red square with stripes

Your task is to make your friend pick out the following target object:

the red square with dots

Which of the following words would you choose:

dots
square
stripes
triangle

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red triangle with stripes
a red square with dots
a red square with stripes

Your friend can choose from the following list of words:

dots
square
stripes
triangle

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-3.981823666666666,-3.9385353333333337,-5.464945,-6.952705333333333,0.3670192812284249,0.3750497000849,0.17483693113382878,0.08309408755284625,0.5,-2.765617152811,-2.0105374960395,-5.873749098156168,0.374520856076237,0.5463104042995023,0.0791687396242607,competitor,competitor,"[t,c,d,d]","[c,d,t]","[t,c,d,d]",texture-color
123,production,orange,2233,26,2,"a orange circle with stripes
a red circle with spades
a red circle with stripes","spades
orange
stripes
red",color,shape,orange,stripes,red,spades,1,2,3,0,orange circle with stripes,red,red circle with stripes,red circle with spades,orange circle with stripes,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a red circle with spades
a red circle with stripes

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

spades
orange
stripes
red

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a red circle with spades
a red circle with stripes

Your friend can choose from the following list of words:

spades
orange
stripes
red

Your friend chose the word:

red

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-1.8994242333333335,-5.72806925,-7.562954,-5.3767760024825,0.7235348421858847,0.1066791993791144,0.04262256549146984,0.127163392943531,0.5,-2.2657347338931166,-2.616787533650474,-3.6155616486483337,0.42585525079758224,0.35729904842581406,0.21684570077660356,target,target,"[d,t,c,d]","[d,c,t]","[d,t,c,d]",color-shape
123,interpretation,a orange circle with dots,45200,24,3,"a orange hexagon with dots
a orange circle with dots
a blue circle with dots","orange
circle
hexagon
blue",color,texture,blue,circle,orange,hexagon,3,1,0,2,blue circle with dots,orange,orange circle with dots,orange hexagon with dots,blue circle with dots,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange hexagon with dots
a orange circle with dots
a blue circle with dots

Your task is to make your friend pick out the following target object:

the blue circle with dots

Which of the following words would you choose:

orange
circle
hexagon
blue

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange hexagon with dots
a orange circle with dots
a blue circle with dots

Your friend can choose from the following list of words:

orange
circle
hexagon
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.149175,-7.931043,-7.195779000000001,-6.076185579068375,0.7836473292127851,0.04351149186268527,0.06284410173641665,0.10999707718811302,0.5,-4.86055912223395,-2.6186678130443286,-3.683079795543333,0.17037313180880842,0.5226628340376966,0.30696403415349477,target,competitor,"[d,c,d,t]","[c,t,d]","[c,t,d]",color-texture
123,interpretation,a green hexagon with spades,18891,94,4,"a green triangle with spades
a green hexagon with spades
a green hexagon with stars","stars
triangle
spades
hexagon",shape,color,triangle,spades,hexagon,stars,1,2,3,0,green triangle with spades,hexagon,green hexagon with spades,green hexagon with stars,green triangle with spades,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with spades
a green hexagon with spades
a green hexagon with stars

Your task is to make your friend pick out the following target object:

the green triangle with spades

Which of the following words would you choose:

stars
triangle
spades
hexagon

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with spades
a green hexagon with spades
a green hexagon with stars

Your friend can choose from the following list of words:

stars
triangle
spades
hexagon

Your friend chose the word:

hexagon

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.6556771666666665,-3.87314525,-5.560473166547735,-7.049912,0.5293328067315547,0.28797777776829836,0.12386835623026662,0.05882105926988015,0.5,-1.5755041227335502,-2.7500628234493716,-3.4255066575105713,0.5121984189505615,0.2846990725449535,0.20310250850448505,target,target,"[d,t,c,d]","[d,t,c]","[d,t,c]",shape-color
124,production,hexagon,17650,60,1,"a blue hexagon with dots
a blue circle with dots
a green circle with dots","circle
blue
hexagon
green",shape,texture,hexagon,blue,circle,green,2,1,0,3,blue hexagon with dots,circle,blue circle with dots,green circle with dots,blue hexagon with dots,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue hexagon with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the blue hexagon with dots

Which of the following words would you choose:

circle
blue
hexagon
green

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue hexagon with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

circle
blue
hexagon
green

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-1.82245376706908,-6.832116666666667,-8.833678,-8.266988,0.8683703921926405,0.0709366264301467,0.02607576206357866,0.03461721931363411,0.5,-2.3513252008341836,-3.462649852680834,-5.218611307751428,0.5518365276835443,0.3165842918204522,0.13157918049600356,target,target,"[d,c,t,d]","[d,t,c]","[d,c,t,d]",shape-texture
124,production,stripes,12499,13,2,"a orange square with stars
a green square with stars
a green square with stripes","stars
green
orange
stripes",texture,shape,stripes,green,stars,orange,3,1,0,2,green square with stripes,stars,green square with stars,orange square with stars,green square with stripes,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a green square with stars
a green square with stripes

Your task is to make your friend pick out the following target object:

the green square with stripes

Which of the following words would you choose:

stars
green
orange
stripes

Your answer:

I would choose the word","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a green square with stars
a green square with stripes

Your friend can choose from the following list of words:

stars
green
orange
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to",0.5,-2.30758125,-7.880778,-7.019832,-8.179587666666666,0.8267915366437961,0.05095557712951857,0.0783689040353897,0.04388398219129563,0.5,-2.8453132200095,-2.01041948777,-5.208205545993333,0.35399289876057005,0.5373898017884694,0.1086172994509606,target,target,"[d,c,d,t]","[c,t,d]","[d,c,d,t]",texture-shape
