trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.3289060592651367,-3.3726444244384766,-3.454029083251953,-3.967324733734131,1.109635353088379,1.124214768409729,1.1513429880142212,1.322441577911377,0.2743900592636289,0.2684545122977063,0.2577497507898081,0.19940567764885656,0.24150743476746805,0.24327438581849134,0.24659666725756374,0.2686215121564769,0.5,-8.48745346069336,-9.316218376159668,-11.864075660705566,0.6799248238500641,0.29684713918544736,0.023228036964488382,1.2124935388565063,1.3308885097503662,1.6948679685592651,0.26697957710187653,0.3005358764739839,0.43248454642413964
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.5268638134002686,-3.420402765274048,-3.255303382873535,-3.5829367637634277,0.8817159533500671,0.8551007509231567,0.6510607004165649,1.1943122148513794,0.2396670107686235,0.2527702640241132,0.27452181239446033,0.23304091281280315,0.2470948180051526,0.24382836126229185,0.2201798065542999,0.28889701417825564,0.5,-9.424577713012695,-8.806957244873047,-11.257068634033203,0.33172728569227034,0.6151915427004669,0.053081171607262743,1.0471752882003784,1.1008696556091309,1.40713369846344,0.28666175482590983,0.3024746080185575,0.41086363715553265
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.8480582237243652,-3.182187080383301,-4.3463640213012695,-4.130565166473389,0.7120145559310913,0.6364373564720154,1.448788046836853,1.0326412916183472,0.35142667009048895,0.2973579527507632,0.16614288493740298,0.18507249222134475,0.21823596851721763,0.21014301065341517,0.31543847253742563,0.25618254829194154,0.5,-9.159971237182617,-9.733274459838867,-10.968110084533691,0.5788311705291307,0.3262642462545321,0.09490458321633718,1.3085674047470093,1.390467882156372,1.371013879776001,0.3174819595263527,0.34457834244809427,0.33793969802555307
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.1744377613067627,-2.728630542755127,-3.212232828140259,-4.393762588500977,1.0581458806991577,0.6821576356887817,1.0707441568374634,1.4645873308181763,0.264934746417181,0.33108898132488823,0.2599751429254502,0.1440011293324806,0.24628834237924935,0.2040793421871539,0.24784464318348742,0.30178767225010944,0.5,-8.225202560424805,-9.987430572509766,-10.165510177612305,0.7602702687227528,0.13050949395365008,0.10922023732359713,1.1750290393829346,1.664571762084961,1.4522157907485962,0.2531015878755836,0.4129529499952784,0.33394546212913795
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.930703639984131,-3.061999797821045,-4.099343776702881,-4.214765548706055,0.7326759099960327,0.7654999494552612,1.366447925567627,1.4049218893051147,0.3311074354636385,0.3100689903498648,0.18458735731273715,0.17423621687375943,0.20881601827676446,0.21227138812809668,0.2866722498861036,0.2922403437090351,0.5,-8.572888374328613,-8.327383041381836,-8.84000301361084,0.3285310416960641,0.4199504220940616,0.25151853620987424,1.4288147687911987,1.1896260976791382,1.2628575563430786,0.3796004520987749,0.29884665628767343,0.32155289161355166
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.5879459381103516,-3.814305305480957,-3.2376623153686523,-4.098217010498047,0.8626486659049988,1.271435022354126,0.8094155788421631,1.0245542526245117,0.36573733602900393,0.19809282440251236,0.2642927065827646,0.17187713298571924,0.2333812336250496,0.28630752360242656,0.22725137161294237,0.2530598711595815,0.5,-8.410175323486328,-8.576421737670898,-9.041010856628418,0.42034741702603673,0.3559659707707175,0.2236866122032457,1.051271915435791,0.9529357552528381,1.291573166847229,0.3146656519995454,0.2851953809870827,0.40013896701337176
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.9584169387817383,-3.508593797683716,-3.4522926807403564,-3.439490556716919,0.7396042346954346,1.169531226158142,0.6904585361480713,1.1464968919754028,0.30058012959727826,0.22829209859987465,0.23480995895499168,0.23631781284785544,0.22516626523012775,0.2791648818451417,0.2197007156133962,0.27596813731133435,0.5,-9.217819213867188,-8.926980018615723,-10.810885429382324,0.3935689616561154,0.526417960931242,0.08001307741264255,1.1522274017333984,1.1158725023269653,1.5444122552871704,0.29031711321033454,0.27995221278366483,0.4297306740060005
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.455491542816162,-2.8164844512939453,-3.5294699668884277,-4.123734474182129,1.1518305540084839,0.93882817029953,1.1764899492263794,1.3745781183242798,0.2465423911268109,0.3393518574120118,0.237589581774798,0.17651616968637937,0.24818867896279803,0.22311516370268858,0.2512677130977773,0.277428444236736,0.5,-8.04708194732666,-9.162782669067383,-10.068394660949707,0.6848531602520628,0.22441650641594407,0.09073033333199314,1.149583101272583,1.3089689016342163,1.4383420944213867,0.28509844672723444,0.334360699236505,0.38054085403626053
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.1060898303985596,-3.3458571434020996,-3.2145636081695557,-4.000102996826172,0.6212179064750671,1.1152857542037964,0.8036409616470337,1.3333677053451538,0.2878715933682558,0.2553489057654933,0.27267418897084283,0.18410531189540805,0.208184233053079,0.2665221480721577,0.22806597498975376,0.2972276438850096,0.5,-8.67447566986084,-8.885040283203125,-10.267518043518066,0.4966641934095881,0.4023609282207791,0.10097487836963276,1.4457459449768066,1.4808400869369507,1.4667885303497314,0.32711993546170565,0.338803746452886,0.33407631808540833
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.4088213443756104,-2.9651052951812744,-3.5441536903381348,-3.449110507965088,1.136273741722107,0.9883684515953064,0.8860384225845337,1.1497035026550293,0.24021003028883925,0.29987679034399467,0.22449366619951167,0.2354195131676544,0.2619277838215057,0.2432564377860553,0.23112326246005682,0.26369251593238213,0.5,-8.261799812316895,-8.778743743896484,-10.05980396270752,0.5675467617520399,0.33845096221125187,0.09400227603670824,1.0327249765396118,1.0973429679870605,1.4371148347854614,0.2804939384635916,0.2992173123088614,0.42028874922754705
