trial,interpretation_target,interpretation_competitor,interpretation_distractor,context_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor
0,Jingle,Christmas,pen,"Continue the following Christmas song: Dashing through the snow\nIn a one-horse open sleigh\nO'er the fields we go\nLaughing all the way\nBells on bobtails ring\nMaking spirits bright\nWhat fun it is to ride and sing\nA sleighing song tonight\nJingle bells, Jingle bells\n",-0.06714365631341934,-8.072540283203125,-16.924304962158203
1,Christmas,Easter,car,Continue the following song: We wish you a Merry ,-0.08496323972940445,-7.716869831085205,-12.077150344848633
2,B,A,D,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nA. Barack Obama\nB.George Washington\nC.Bill Clinton\nYour answer:  ,-8.659769058227539,-9.550394058227539,-10.386331558227539
3,B,A,D,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nA. Mickey Mouse\nB.George Washington\nC.Bill Clinton\nYour answer:  ,-8.297163009643555,-9.031538009643555,-10.312788009643555
4,George Washington,Barack Obama,Abraham Lincoln,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nBarack Obama\nGeorge Washington\nBill Clinton\nYour answer:  ,-10.17049503326416,-11.66124153137207,-15.210411071777344
5,no,yes,none,Answer the following question:\nIs the Earth flat?\nWhich of the following words would you choose\n\nyes\nno,0.0,-9.047500610351562,-6.432422161102295
6,No,Yes,none,Answer the following question:\nIs the Earth flat?\nWhich of the following words would you choose\n\nYes\nNo,-10.65641975402832,-10.79313850402832,-8.93582820892334
7,He took the flowers and put them in the vase.,Man the by vase the in put were flowers the.,The woman bought flowers and also bought a small vase.,Your friend wants to paraphrase the following sentence:\nThe flowers were put in the vase by the man.\n\nYour friend can choose fro the following list of sentences:\nMan the by vase the in put were flowers the.\nThe man put the flowers in the vase.\nWhich sentence should your friend choose?\n\nYour answer:\n\nMy friend should choose ,-19.551387786865234,-4.6467156410217285,-42.980506896972656
8,B,A,D,Your friend wants to paraphrase the following sentence:\nThe flowers were put in the vase by the man.\n\nYour friend can choose fro the following list of sentences:\nA. Man the by vase the in put were flowers the.\nB. The man put the flowers in the vase.\nWhich sentence should your friend choose?\n\nYour answer:\n\nMy friend should choose ,-2.869558811187744,-2.650808811187744,-7.057058811187744
9,yellow,blue,typical,Your task is to answer the following question:\nWhich color does a typical banana have?\n\nWhich of the following words would you choose:\n\nbanana\nred\nyellow\nblue\n\nI would choose the word ,-3.485474109649658,-4.680786609649658,-11.770630836486816
10,triangle,square,red,Your task is to answer the following question:\nWhat is the name of a geometric shape with three sides?\n\nWhich of the following words would you choose:\n\nbanana\nred\ntriangle\nsquare\n\nI would choose the word ,-1.2565606832504272,-5.084685802459717,-5.483123302459717
