trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-27.66352081298828,-32.09766387939453,-26.99658966064453,-28.62598419189453,27.66352081298828,32.09766387939453,26.99658966064453,28.62598419189453,0.29921617426322855,0.003550268507701696,0.5829476891733363,0.11428586805573351,0.011310772508374615,0.9532704556220905,0.005805608531902476,0.02961316333763251,0.5,-30.184234619140625,-28.543622970581055,-30.214548110961914,0.1402826558524303,0.7236233383871512,0.13609400576041863,6.03684663772583,32.09766387939453,26.99658966064453,0.011310772508374615,0.9532704556220905,0.005805608531902476
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-26.102676391601562,-30.50002098083496,-26.79836082458496,-32.4179801940918,13.051338195800781,15.25001049041748,8.93278694152832,32.4179801940918,0.6610034610273149,0.008136942430419559,0.3296642271250035,0.001195369417262198,3.883061153698872e-09,3.499818119659882e-08,6.316989384353904e-11,0.9999999610555877,0.5,-29.456363677978516,-29.756641387939453,-44.31132888793945,0.5745102871903075,0.4254895096355712,2.0317412123529088e-07,4.208051681518555,15.25001049041748,8.93278694152832,3.883061153698872e-09,3.499818119659882e-08,6.316989384353904e-11
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-24.836116790771484,-25.889663696289062,-27.967788696289062,-25.941516876220703,12.418058395385742,8.629887580871582,27.967788696289062,12.970758438110352,0.5802409682133909,0.20232930123189938,0.02532448145173331,0.19210524910297644,1.765378054634061e-07,3.996281221987355e-09,0.9999995126539412,3.0681197216122657e-07,0.5,-38.17230987548828,-29.203567504882812,-28.815494537353516,5.146103592845176e-05,0.40416048089543166,0.5957880580686398,7.634461879730225,8.629887580871582,27.967788696289062,1.765378054634061e-07,3.996281221987355e-09,0.9999995126539412
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-29.67188835144043,-24.964900970458984,-31.91016960144043,-27.73243522644043,29.67188835144043,12.482450485229492,31.91016960144043,27.73243522644043,0.008418947463658517,0.9321299134693438,0.0008978103416011753,0.058553328725396536,0.09504815318675217,3.255859612269278e-09,0.8912855768289869,0.013666266728401344,0.5,-28.61804962158203,-30.192594528198242,-42.2889518737793,0.8284297626607899,0.17156928001667437,9.573225356593942e-07,5.7236104011535645,12.482450485229492,31.91016960144043,0.09504815318675217,3.255859612269278e-09,0.8912855768289869
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-30.033226013183594,-24.824235916137695,-29.20216178894043,-28.09962272644043,15.016613006591797,12.412117958068848,29.20216178894043,28.09962272644043,0.005178144083193432,0.9471304211397734,0.011887779399306755,0.03580365537772632,5.185387056122173e-07,3.834099255673217e-08,0.7507351289972009,0.24926431412310085,0.5,-33.15708923339844,-29.240528106689453,-43.900020599365234,0.01952078681826371,0.9804787915808579,4.21600878301477e-07,8.28927230834961,12.412117958068848,29.20216178894043,5.185387056122173e-07,3.834099255673217e-08,0.7507351289972009
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-28.07593536376953,-30.53907012939453,-25.90904998779297,-31.34572982788086,28.07593536376953,30.53907012939453,12.954524993896484,15.67286491394043,0.10147926829014473,0.008642740834237127,0.8860203336601804,0.003857657215437616,0.07848329261395058,0.9215163638732462,2.126337177106142e-08,3.2224943139320886e-07,0.5,-28.477596282958984,-37.190189361572266,-29.439498901367188,0.7234164804112492,0.00011900283323270772,0.2764645167555181,4.746265411376953,30.53907012939453,12.954524993896484,0.07848329261395058,0.9215163638732462,2.126337177106142e-08
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-30.24378204345703,-29.110368728637695,-25.84632110595703,-32.13673400878906,15.121891021728516,29.110368728637695,8.615440368652344,32.13673400878906,0.011695743696553287,0.036329798644590315,0.950212768631192,0.0017616890276643791,3.890295758695658e-08,0.04624888831292036,5.8112158133101146e-11,0.95375107272601,0.5,-29.70122718811035,-28.951221466064453,-41.03669357299805,0.32081882491045116,0.6791773439379003,3.831151648496753e-06,4.950204372406006,29.110368728637695,8.615440368652344,3.890295758695658e-08,0.04624888831292036,5.8112158133101146e-11
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-29.59571647644043,-26.77149772644043,-28.66700553894043,-28.09571647644043,29.59571647644043,26.77149772644043,28.66700553894043,28.09571647644043,0.04022411148642979,0.6776868811436195,0.10181704655715854,0.1802719608127922,0.5961081958066848,0.03538200781700105,0.23550007918017704,0.13300971719613713,0.5,-28.39400863647461,-29.629438400268555,-41.117103576660156,0.7747657071002966,0.22523198296095354,2.309938749987058e-06,5.678801536560059,26.77149772644043,28.66700553894043,0.5961081958066848,0.03538200781700105,0.23550007918017704
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-25.340839385986328,-28.947284698486328,-40.44826126098633,-28.428730010986328,8.446946144104004,28.947284698486328,20.224130630493164,28.428730010986328,0.9321866902784532,0.025307170981677986,2.561137774857935e-07,0.042505882626091375,7.832628313256194e-10,0.6267457959343523,0.00010201728301777767,0.3731521859993671,0.5,-38.17518997192383,-29.01895523071289,-54.06849670410156,0.00010554846831245626,0.9998944515184722,1.3215284659867621e-11,9.543797492980957,28.947284698486328,20.224130630493164,7.832628313256194e-10,0.6267457959343523,0.00010201728301777767
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-27.919687271118164,-32.26953887939453,-25.134864807128906,-28.742197036743164,27.919687271118164,32.26953887939453,12.567432403564453,28.742197036743164,0.056659861066225246,0.0007314067342713449,0.9177164880076258,0.02489224419187755,0.012384948128304348,0.9594243631913235,2.6637570873017753e-09,0.028190686016615094,0.5,-28.00278091430664,-31.33131980895996,-29.322078704833984,0.7673605383098407,0.027506376740210947,0.20513308494994825,4.667129993438721,32.26953887939453,12.567432403564453,0.012384948128304348,0.9594243631913235,2.6637570873017753e-09
