trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.0071113109588623,-1.777966022491455,-3.2177774906158447,-6.686820983886719,1.0035556554794312,0.8889830112457275,1.6088887453079224,3.3434104919433594,0.3618431625390508,0.40576878792962723,0.1975274921595864,0.03486055737173574,0.1533849251627765,0.14484501237063988,0.20760083170905144,0.4941692307575323,0.5,-8.714919090270996,-9.256926536560059,-13.905410766601562,0.6300606241614074,0.36643039945179573,0.003508976386796856,1.4524866342544556,1.5428214073181152,2.31756854057312,0.22372659629570296,0.24487785303617166,0.5313955506681255
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-1.8625659942626953,-2.323479413986206,-8.271676063537598,-5.81841516494751,0.6208553314208984,0.7744931578636169,2.0679190158843994,2.909207582473755,0.5068156947714982,0.40249823287601866,0.020565036606159454,0.07012103574632372,0.13733619011543372,0.1483020059718568,0.2831462941424433,0.4312155097702662,0.5,-13.004196166992188,-11.303503036499023,-23.410612106323242,0.1543740393253054,0.8456212927348666,4.667939827980449e-06,1.6255245208740234,1.614786148071289,3.3443732261657715,0.13214540248408402,0.13073396770744933,0.7371206298084665
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.3793816566467285,-1.0453276634216309,-6.302374362945557,-4.784294128417969,1.4597939252853394,0.2613319158554077,3.1511871814727783,1.5947647094726562,0.13341443589908303,0.7066159724847152,0.0510070566894732,0.10896253492672858,0.20207537153507293,0.11098663065437687,0.47075480862968666,0.21618318918086354,0.5,-5.057733058929443,-4.455040454864502,-13.315226554870605,0.3536954677288861,0.6462128161592902,9.171611182357163e-05,0.8429555892944336,0.742506742477417,1.9021750688552856,0.20883146719096154,0.18887373117624934,0.6022948016327891
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-1.231220006942749,-5.622945785522461,-4.887477874755859,-4.424500465393066,0.6156100034713745,1.8743152618408203,2.4437389373779297,2.212250232696533,0.6781718563804522,0.0754551048785943,0.10899170706930111,0.13738133167165234,0.13170647035503916,0.2471334233338185,0.32853395750905495,0.2926261488020875,0.5,-11.285482406616211,-4.502435207366943,-24.980636596679688,0.0011315358870042972,0.9988684628367378,1.2762578863587342e-09,1.8809136152267456,0.9004871249198914,4.1634392738342285,0.08947300651858416,0.03356589381252524,0.8769610996688906
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.712275266647339,-4.259584903717041,-6.758596420288086,-2.4769322872161865,1.2374250888824463,1.4198617935180664,3.379298210144043,1.2384661436080933,0.26087722094581484,0.19842179849750305,0.056876901062601494,0.4838240794940805,0.16627481077183015,0.1821554163088919,0.4852083890288089,0.166361383890469,0.5,-14.322322845458984,-11.306713104248047,-19.441207885742188,0.04671258001595925,0.9530079531157233,0.00027946686831751747,2.864464521408081,1.884452223777771,3.240201711654663,0.3531858013921798,0.13255292112236755,0.5142612774854526
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.5652074813842773,-2.53291392326355,-12.7516508102417,-10.934916496276855,0.28260374069213867,1.266456961631775,4.250550270080566,3.644972085952759,0.7237321775793497,0.2705801026480327,0.0016342757486913684,0.004053444023926185,0.06544950169936206,0.10704030966306842,0.4759211282583922,0.3515890603791773,0.5,-14.313044548034668,-12.7347412109375,-15.630792617797852,0.1635466565264738,0.7926657623631939,0.043787581110332256,2.044720411300659,1.591842532157898,2.6051323413848877,0.2952300063120371,0.18770599001999283,0.5170640036679701
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.9678128957748413,-2.3693313598632812,-6.273146152496338,-7.634927272796631,0.32260429859161377,1.1846656799316406,1.5682865381240845,3.8174636363983154,0.6240882478918924,0.3096778455514129,0.04397516984450678,0.022258736712187813,0.09859122796378186,0.15171639906193818,0.18379544211261137,0.5658969308616687,0.5,-12.64766788482666,-12.010736465454102,-20.8580265045166,0.3459079979045432,0.6539979762687265,9.402582673023041e-05,1.806809663772583,1.7158194780349731,3.476337432861328,0.1384526382575732,0.12641095147405243,0.7351364102683744
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-1.0782256126403809,-1.8506081104278564,-7.152359962463379,-5.271359920501709,0.5391128063201904,0.9253040552139282,3.5761799812316895,2.6356799602508545,0.5403964024419172,0.36727529885190935,0.025925726424100445,0.06640257228207302,0.10382841847292372,0.1259437449692625,0.4740312755852501,0.29619656097256375,0.5,-9.981668472290039,-9.310938835144043,-20.254539489746094,0.33832952629662894,0.6616587817061224,1.1691997248829678e-05,1.6636114120483398,1.5518230199813843,3.3757565021514893,0.13449776491001586,0.12027240226629465,0.7452298328236894
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.47183695435523987,-2.84017276763916,-13.316452026367188,-9.240518569946289,0.11795923858880997,1.42008638381958,4.438817501068115,4.6202592849731445,0.7575202615234748,0.23180172630539642,0.0012308964793497673,0.009447115691779022,0.04741338197868732,0.09091891648669392,0.4113044277032599,0.4503632738313588,0.5,-11.900713920593262,-10.151397705078125,-22.846637725830078,0.14813307713894838,0.8518643113147114,2.6115463400734613e-06,2.3801426887512207,2.0302796363830566,3.8077733516693115,0.17025348866448092,0.11999203719509953,0.7097544741404196
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-1.4678676128387451,-1.7083016633987427,-15.161179542541504,-3.9665610790252686,0.7339338064193726,0.8541508316993713,5.053726673126221,1.9832805395126343,0.45987942880357596,0.40778795393272677,0.0004888538932210456,0.13184376337047618,0.07936616740434829,0.08428304238841265,0.6881236926339316,0.14822709757330746,0.5,-10.787632942199707,-12.276344299316406,-8.359001159667969,0.07956073212509329,0.017953934785227343,0.9024853330896793,1.5410903692245483,1.7537634372711182,1.3931668996810913,0.3226350459574926,0.39909315618516167,0.2782717978573457
