trial,interpretation_target,interpretation_competitor,interpretation_distractor,context_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor
0,Jingle,Christmas,pen,"Continue the following Christmas song: Dashing through the snow\nIn a one-horse open sleigh\nO'er the fields we go\nLaughing all the way\nBells on bobtails ring\nMaking spirits bright\nWhat fun it is to ride and sing\nA sleighing song tonight\nJingle bells, Jingle bells\n",-0.48237189650535583,-9.46554183959961,-18.29741668701172
1,Christmas,Easter,car,Continue the following song: We wish you a Merry ,-0.05146511271595955,-9.937867164611816,-12.863965034484863
2,B,A,D,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nA. Barack Obama\nB.George Washington\nC.Bill Clinton\nYour answer:  ,-9.489830017089844,-10.161705017089844,-10.638267517089844
3,B,A,D,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nA. Mickey Mouse\nB.George Washington\nC.Bill Clinton\nYour answer:  ,-9.626001358032227,-10.204126358032227,-10.618188858032227
4,George Washington,Barack Obama,Abraham Lincoln,Answer the following question:\nWho was the first president of the USA?\nAnswer options:\nBarack Obama\nGeorge Washington\nBill Clinton\nYour answer:  ,-8.220027923583984,-10.573209762573242,-15.29318618774414
5,no,yes,none,Answer the following question:\nIs the Earth flat?\nWhich of the following words would you choose\n\nyes\nno,0.0,-11.382826805114746,-8.318458557128906
6,No,Yes,none,Answer the following question:\nIs the Earth flat?\nWhich of the following words would you choose\n\nYes\nNo,-9.635258674621582,-9.385258674621582,-10.13470458984375
7,He took the flowers and put them in the vase.,Man the by vase the in put were flowers the.,The woman bought flowers and also bought a small vase.,Your friend wants to paraphrase the following sentence:\nThe flowers were put in the vase by the man.\n\nYour friend can choose fro the following list of sentences:\nMan the by vase the in put were flowers the.\nThe man put the flowers in the vase.\nWhich sentence should your friend choose?\n\nYour answer:\n\nMy friend should choose ,-20.434459686279297,-5.545003414154053,-44.8028564453125
8,B,A,D,Your friend wants to paraphrase the following sentence:\nThe flowers were put in the vase by the man.\n\nYour friend can choose fro the following list of sentences:\nA. Man the by vase the in put were flowers the.\nB. The man put the flowers in the vase.\nWhich sentence should your friend choose?\n\nYour answer:\n\nMy friend should choose ,-2.410850763320923,-1.7858507633209229,-5.645225524902344
9,yellow,blue,typical,Your task is to answer the following question:\nWhich color does a typical banana have?\n\nWhich of the following words would you choose:\n\nbanana\nred\nyellow\nblue\n\nI would choose the word ,-2.5614430904388428,-2.5301930904388428,-9.350505828857422
10,triangle,square,red,Your task is to answer the following question:\nWhat is the name of a geometric shape with three sides?\n\nWhich of the following words would you choose:\n\nbanana\nred\ntriangle\nsquare\n\nI would choose the word ,-0.7884902954101562,-2.4291152954101562,-3.8119277954101562
