trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,production_decoded,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg,interpretation_decoded
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.3748486042022705,-3.709927797317505,-4.273038387298584,-3.7928943634033203,-1.12494957447052,-1.236642599105835,-1.4243460893630981,-1.2642980813980103,0.3034601741309268,0.25664935692608865,0.19366996293689479,0.24622050600608983,0.2674261857800114,0.25290073878633096,0.23024531553457558,0.24942775989908206,,0.5,-9.138606071472168,-10.869617462158203,-11.202285766601562,0.7668176314415094,0.13580738753489344,0.09737498102359725,-1.305515170097351,-1.5528024435043335,-1.6003265380859375,0.3640814001865795,0.3217368041262925,0.3141817956871279,
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.6960182189941406,-4.442805767059326,-3.4854531288146973,-5.018293380737305,-0.6740045547485352,-1.1107014417648315,-0.6970906257629395,-1.6727644205093384,0.4158812902371386,0.17364380190113946,0.28025009603298223,0.13022481182873977,0.29418033394856324,0.23647547826351553,0.2908041232558065,0.17854006453211468,,0.5,-8.930282592773438,-9.67142391204834,-12.442680358886719,0.6638365097518748,0.31636435756630155,0.019799132681823668,-0.9922536015510559,-1.208927869796753,-1.5553350448608398,0.37708169663363633,0.33836484344112855,0.2845534599252351,
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.248298406600952,-4.113264083862305,-4.924026966094971,-5.5038862228393555,-0.812074601650238,-0.8226528167724609,-1.641342282295227,-1.3759715557098389,0.4157526699819387,0.26978023996009476,0.17986854173700484,0.13459854832096182,0.2932878565200892,0.29174072059147066,0.19374071255256092,0.2212307103358792,,0.5,-8.72536563873291,-8.984230995178223,-10.722551345825195,0.5242069205248358,0.4046494498724849,0.07114362960267945,-1.2464808225631714,-1.283461570739746,-1.3403189182281494,0.34061753465460604,0.33437725932214485,0.3250052060232491,
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.614988327026367,-3.5690674781799316,-3.5609521865844727,-4.70811653137207,-1.5383294820785522,-0.8922668695449829,-1.1869840621948242,-1.5693721771240234,0.1874276643792512,0.3161931956531259,0.3174788021487316,0.17890033781889123,0.2193966406280224,0.30305446516001067,0.261531293623678,0.216017600588289,,0.5,-10.016763687133789,-9.616880416870117,-10.381916046142578,0.31389866778855613,0.46822712594459104,0.2178742062668529,-1.4309662580490112,-1.6028133630752563,-1.4831308126449585,0.345791114196949,0.3173201889980726,0.33688869680497824,
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.245784759521484,-2.4617996215820312,-6.3476667404174805,-3.9915592670440674,-1.061446189880371,-0.6154499053955078,-2.115888833999634,-1.3305197954177856,0.20303990091662216,0.4954146481448661,0.07098449873431557,0.23056095220419628,0.269238305470288,0.3364989482805309,0.15891596799090918,0.23534677825827202,,0.5,-11.205531120300293,-9.983217239379883,-13.762321472167969,0.22358421691333086,0.7590760981634963,0.017339684923172845,-1.8675885200500488,-1.4261739253997803,-1.9660459756851196,0.3126053330137889,0.38980584247470146,0.2975888245115097,
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.4087114334106445,-3.962149143218994,-3.783682346343994,-4.336019515991211,-1.1362371444702148,-1.320716381072998,-0.9459205865859985,-1.0840048789978027,0.31091724235568863,0.23575848682269235,0.2577631960175895,0.19556107480402948,0.24763633056757947,0.2258162561340621,0.2723585889774969,0.2541888243208616,,0.5,-9.689486503601074,-9.2954740524292,-9.810026168823242,0.29679218649793865,0.44011877616058415,0.2630890373414772,-1.2111859321594238,-1.0328304767608643,-1.4014322757720947,0.3330518072428789,0.36411719601286324,0.3028309967442579,
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.3703222274780273,-6.870745658874512,-3.8284592628479004,-5.734791278839111,-0.5925805568695068,-2.2902486324310303,-0.765691876411438,-1.9115971326828003,0.5637954305570941,0.05941102161471569,0.2719512864271977,0.10484226140099237,0.3493933605791466,0.1495101610467999,0.3204232363161964,0.18067324205785715,,0.5,-9.971575736999512,-10.470463752746582,-10.791356086730957,0.4883447029909995,0.29652558339128354,0.21512971361771696,-1.2464470863342285,-1.3088079690933228,-1.541622281074524,0.3530964334917489,0.34225660438454264,0.30464696212370845,
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.531778335571289,-3.0790212154388428,-4.215344429016113,-3.9324049949645996,-1.5105928182601929,-1.026340365409851,-1.405114769935608,-1.31080162525177,0.1789409527509883,0.3699746310609389,0.2096150664536386,0.24146934973443415,0.22557247320731266,0.2873691777254241,0.2377882377897367,0.2492701112775266,,0.5,-10.514360427856445,-11.21341609954834,-10.543758392333984,0.4051725269700099,0.20139281355986793,0.39343465947012224,-1.5020514726638794,-1.6019165515899658,-1.5062512159347534,0.33907547148027717,0.3225603249572576,0.33836420356246516,
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.71671199798584,-4.976401329040527,-3.309025764465332,-5.546473979949951,-0.5433424115180969,-1.658800482749939,-0.827256441116333,-1.8488246202468872,0.43295502770109884,0.13988059907427675,0.32197598990328924,0.10518838332133527,0.3377484896975644,0.19336362227800133,0.2930503655657183,0.17583752245871606,,0.5,-10.108885765075684,-10.130094528198242,-12.097464561462402,0.4726111451745485,0.46269319286282073,0.06469566196263075,-1.6848143339157104,-1.6883491277694702,-1.7282092571258545,0.33593454178313914,0.33534133647539366,0.3287241217414673,
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-4.801309585571289,-3.062354564666748,-4.170928001403809,-4.253525733947754,-1.6004365682601929,-1.020784854888916,-1.0427320003509521,-1.417841911315918,0.16471052377596168,0.3929439741259102,0.2257391939594378,0.2166063081386904,0.21037566055946663,0.2811028591370256,0.27803501983178613,0.23048646047172175,,0.5,-8.5934419631958,-11.982394218444824,-9.698481559753418,0.732631980192874,0.024721943428322023,0.24264607637880406,-1.074180245399475,-1.497799277305603,-1.3854973316192627,0.375238719751523,0.3036127053080216,0.32114857494045546,
