trial,context,question,correct,incorrect,scores_target,scores_distractor
0,"English Football League play-offs -- Before the 1999--2000 season away goals were used as a tie-breaker after extra time had been played, however, this was abolished following a club initiative launched by then-Ipswich Town chairman David Sheepshanks, after his club had twice lost on away goals in 1997 and 1999. Since then away goals have played no part in the play-off system.",do away goals count in the league 2 playoffs,No,Yes,-2.952021360397340,-3.4097166061401400
1,"1986 NBA Playoffs -- Second-year player Michael Jordan put on a record-setting performance in Game 2 of the Bulls' first-round series against the Celtics, scoring 63 points in a 2-OT loss, which surpassed Elgin Baylor's 61-point performance from the 1962 NBA Finals and still stands as the NBA Playoff scoring record. Jordan averaged 43.7 points per game in the series, but was unable to prevent the Bulls from being swept by a more experienced, more talented Celtics team. The Bulls set a dubious mark by posting the second worst record for a playoff-qualifying team in history, going just 30--52 during the season. Game 2, where the record was set, was ranked by TV Guide as the 26th Most Memorable Moment in Television History, and is credited with boosting the NBA's popularity surge and eventual rise to near the top of the United States television sports market, trailing only football by the mid-90s.",did the bulls get swept by the celtics,Yes,No,-2.9465184211731000,-3.2918758392334000
2,"Water table -- The groundwater may be from precipitation or from groundwater flowing into the aquifer. In areas with sufficient precipitation, water infiltrates through pore spaces in the soil, passing through the unsaturated zone. At increasing depths, water fills in more of the pore spaces in the soils, until a zone of saturation is reached. Below the water table, in the phreatic zone (zone of saturation), layers of permeable rock that yield groundwater are called aquifers. In less permeable soils, such as tight bedrock formations and historic lakebed deposits, the water table may be more difficult to define.",is the depth of the water table always the same,No,Yes,-2.2344303131103500,-3.9680776596069300
3,"FIFA World Cup qualification -- The hosts of the World Cup receive an automatic berth. Unlike many other sports, results of the previous World Cups or of the continental championships are not taken into account. Until 2002, the defending champions also received an automatic berth, but starting from the 2006 World Cup this is no longer the case.",does the host country for the world cup get an automatic bid,Yes,No,-2.6404218673706100,-3.0882105827331500
4,"Bad Lip Reading -- In December of 2015, Bad Lip Reading simultaneously released three new videos, one for each of the three films in the original Star Wars trilogy. These videos found BLR using guest voices for the first time, featuring Jack Black as Darth Vader, Maya Rudolph as Princess Leia, and Bill Hader in multiple roles. The Empire Strikes Back BLR video featured a scene of Yoda singing to Luke about an unfortunate encounter with a seagull on the beach. BLR would later expand this scene into a full-length standalone song known as ``Seagulls! (Stop It Now)'', which was released in November 2016 (eventually hitting #1 on the Billboard Comedy Digital Tracks chart.) As of late 2017, the ``Seagulls!'' video is Bad Lip Reading's second most viewed YouTube upload, and most popular musical production. In the song, Yoda sings to Luke Skywalker about the dangers posed by vicious seagulls if one dares to go to the beach. Mark Hamill, who played Luke Skywalker in the Star Wars films, publicly praised ``Seagulls!'' (and Bad Lip Reading in general) while speaking at Star Wars Celebration in 2017: ``I love them, and I showed Carrie (Fisher) the Yoda one... we were dying. I showed it to her in her trailer. She loved it. I retweeted it... and (BLR) contacted me and said 'Do you want to do Bad Lip Reading?' And I said, 'I'd love to...'''. Hamill and Bad Lip Reading would go on to collaborate on Bad Lip Reading's version of The Force Awakens, with Hamill providing the voice of Han Solo.",is seagulls stop it now a real song,Yes,No,-3.3966381549835200,-3.333937883377080
5,"District of Columbia voting rights -- In the United States House of Representatives, the District is represented by a delegate, who is not allowed to vote on the House floor but can vote on procedural matters and in congressional committees. D.C. residents have no representation in the United States Senate. The Twenty-third Amendment to the United States Constitution, adopted in 1961, entitles the District to the same number of electoral votes as that of the least populous state in the election of the President and Vice President of the United States.",can you vote for president in washington dc,Yes,No,-2.9305996894836400,-2.5605905055999800
6,"HCF Health Insurance -- HCF (The Hospitals Contribution Fund of Australia) was formed in 1932 to provide health insurance cover to Australians. Since then, it has grown to become one of the country's largest combined registered private health fund and life insurance organisations. HCF is the 3rd largest health insurance company by market share (10.3% in FY2010) and is the largest not-for-profit health fund in Australia.",is hcf a not for profit health fund,Yes,No,-2.719982624053960,-2.930091142654420
7,"Advantage gambling -- A skillful or knowledgeable player can gain an advantage at a number of games. Card games have been beaten by card sharps for centuries. Blackjack and other table games can usually be beaten with card counting, hole carding, shuffle tracking, edge sorting, or several other methods. The players most skilled in these techniques have been nominated to the Blackjack Hall of Fame. Some video poker games, such as full pay Deuces Wild, can be beaten by the use of a strategy card devised by computer analysis of the game and often for sale in casino gift shops. And similar to the Blackjack Hall of Fame, there is an internet ``Video Poker Hall of Fame''. Some slot machines and lotteries with progressive jackpots can eventually have such a high jackpot that they offer a positive return or overlay when played long term, according to the gambling mathematics. Some online games can be beaten with bonus hunting.",can gamblers ever acquire a statistical advantage over the house in casino games,Yes,No,-3.3980987071991000,-3.937213182449340
8,"Port Salut -- In 1873, the head of the abbey came to an agreement with a Parisian cheese-seller granting exclusive rights of distribution, and the cheese soon became popular. The abbey sought trade protection, and eventually (in 1959), sold the rights to a major creamery. The cheese is now produced in a factory; the characteristic smooth rind the result of a plastic-coated wrapper. The rind is edible, but is made of wax and detracts from the flavour of the cheese.",can you eat the rind of port salut,Yes,No,-2.8401007652282700,-2.921116828918460
9,"Eight-ball -- If the 8 ball is pocketed on the break then the breaker can choose either to re-spot the 8 ball and play from the current position or to re-rack and re-break; but if the cue ball is also pocketed on the break then the opponent is the one who has the choice: either to re-spot the 8 ball and shoot with ball-in-hand behind the head string , accepting the current position, or to re-break or have the breaker re-break. (For regional amateur variations, such as pocketing the 8 ball on the break resulting in instant win or loss, see ``Informal rule variations'', below.)",is there ball in hand in 8 ball,Yes,No,-3.0814051628112800,-3.1196274757385300
