trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,production_decoded,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg,interpretation_decoded
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.5808148264884949,-0.24974914789199829,-0.6105548569134304,-0.5421763807535172,-2.9040741324424744,-2.497491478919983,-4.2738839983940125,-4.337411046028137,0.23896182991127468,0.28198014791370224,0.2354347527024288,0.24362326947259424,0.31075741157225917,0.38081127357760747,0.15666466787739114,0.15176664697274236,,0.5,-0.2685080958432921,-0.31304552891530574,-0.414165784909225,0.3544976260661348,0.3390556374917242,0.30644673644214093,-6.981210491925594,-7.513092693967337,-9.9399788378214,0.5014385800715468,0.3843447846541856,0.11421663527426758,
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.4143011271953583,-0.33258157832703245,-0.4573253099289205,-0.45569567680358886,-2.900107890367508,-2.993234204943292,-4.115927789360285,-4.556956768035889,0.25000380577377407,0.2604304698692219,0.2446831356188397,0.24488258873816432,0.3406309178822631,0.3251336672357359,0.18546934074217908,0.14876607413982199,,0.5,-0.2546705685822887,-0.3179626725876005,-0.378870071501566,0.3543745758282238,0.3326405153957733,0.3129849087760028,-7.385446488886373,-9.538880177628016,-10.229491930542281,0.6321360679389079,0.21537653544108853,0.1524873966200036,
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.3292746805236675,-0.3773678376229428,-0.7329939107100168,-0.5913576213642955,-2.63419744418934,-3.3963105386064854,-4.397963464260101,-4.730860970914364,0.2724327028471324,0.2659597663516871,0.22263463205033254,0.23897289875084798,0.40855282786570657,0.2790984760535686,0.169141935502076,0.1432067605786489,,0.5,-0.2843106187109907,-0.26451890464872124,-0.37657540538514567,0.3410812745360045,0.34789910330171586,0.3110196221622796,-7.392076086485758,-6.6129726162180305,-10.544111350784078,0.3727010125399313,0.5502255353163562,0.07707345214371257,
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.383707620203495,-0.36437335018854355,-0.3905807018280029,-0.6549851497014364,-3.06966096162796,-2.9149868015083484,-3.9058070182800293,-3.929910898208618,0.25776907212795847,0.26027304416646474,0.25688475855159987,0.2250731251539768,0.2950593936546086,0.31878399780235245,0.1942417742545351,0.19191483428850387,,0.5,-0.3142878294092952,-0.29223463877748984,-0.3419592282343029,0.3338891355417221,0.34133424881123403,0.32477661564704385,-8.800059223460266,-7.598100608214736,-8.890939934091875,0.2645866147481258,0.4825806086004845,0.2528327766513897,
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.31473161150804824,-0.3760441583498115,-0.5517439767718315,-0.9202382961908976,-2.832584503572434,-2.6323091084486805,-4.413951814174652,-5.521429777145386,0.2780220905563818,0.2696282880528375,0.24695209991075814,0.20539752148002252,0.35466678730178763,0.39202139560732224,0.16085366941380372,0.09245814767708628,,0.5,-0.33648557070156804,-0.36267858896495786,-0.34828081927844323,0.3375617344681757,0.32883476556020785,0.3336034999716164,-7.7391681261360645,-7.978928957229073,-8.358739662682638,0.38158754532433675,0.3384782666633302,0.27993418801233316,
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.5097189545631409,-0.4025253430008888,-0.5159918075587484,-0.5000285292302983,-2.5485947728157043,-3.2202027440071106,-4.127934460469987,-4.500256763072684,0.24650064119893458,0.26007275023516824,0.2457287212240766,0.2476978873418206,0.3928290017317727,0.2807797127466565,0.17834226895404504,0.1480490165675258,,0.5,-0.2583699975900042,-0.2753568515805195,-0.3614644653668317,0.34659661957052235,0.34075875723497756,0.3126446231945002,-6.975989934930112,-7.709991844254546,-8.67514716880396,0.47160822758031984,0.3267344168287845,0.2016573555908955,
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.4923295293535505,-0.34686896204948425,-0.3952600945615106,-0.42332268357276914,-3.4463067054748535,-2.774951696395874,-3.5573408510535955,-4.233226835727692,0.24036856266523177,0.25850207133520425,0.2523225275898526,0.24880683840971135,0.2487808524391709,0.34801650360188524,0.2353456596252602,0.1678569843336838,,0.5,-0.272092757984605,-0.31853319525738094,-0.33434099395974326,0.3455101448657437,0.32983138467796813,0.3246584704562882,-7.6185972235689405,-9.555995857721427,-8.692865842953324,0.5091657344338432,0.1932673095849792,0.2975669559811777,
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.38978350907564163,-0.3764773777553013,-0.4433341398835182,-0.6557287176450094,-3.118268072605133,-2.6353416442871094,-3.5466731190681458,-3.934372305870056,0.2593532986725915,0.26108454586257085,0.2525011755409651,0.22706097992387264,0.26700560431761344,0.3399276708864827,0.21552289062535218,0.17754383417055172,,0.5,-0.28811266452642786,-0.34792963043661945,-0.34769897780127695,0.3467296813879975,0.32659748967602364,0.32667282893597904,-6.914703948634269,-8.002381500042247,-8.344775467230647,0.48316411740165893,0.2804842595816944,0.23635162301664678,
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.3365602884441614,-0.3321443349123001,-0.6364300506455558,-0.4544419124722481,-3.0290425959974527,-2.657154679298401,-4.45501035451889,-3.6355352997779846,0.26276119375789736,0.26334200534198204,0.22617538317485947,0.24772141772526113,0.29129454837966645,0.350821977201576,0.14278658026192495,0.21509689415683256,,0.5,-0.364478824376736,-0.2938034024251544,-0.4726083399914205,0.33661599357552274,0.3612673325519677,0.30211667387250973,-8.383012960664928,-6.757478255778551,-11.815208499785513,0.2912137639415768,0.6564358238208846,0.052350412237538495,
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-0.5889060894648234,-0.23864210844039918,-0.6366267134035297,-0.4987889900803566,-3.5334365367889404,-2.3864210844039917,-5.093013707228238,-3.990311920642853,0.2373090298209329,0.2827307992624601,0.2317137799917103,0.24824639092489675,0.24821537158990328,0.4404533464467319,0.11380747647461052,0.19752380548875428,,0.5,-0.27545343542280737,-0.2937067958971602,-0.3382150906487368,0.3423391915956796,0.33614703667184787,0.3215137717324725,-7.437242756415799,-7.342669897429005,-8.45537726621842,0.3774328071490308,0.3957089586073642,0.22685823424360507,
