trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.086103916168213,-2.414228916168213,-2.570478916168213,-4.203291416168213,2.086103916168213,2.414228916168213,2.570478916168213,4.203291416168213,0.4070459987379093,0.29318423448989206,0.25077376501113285,0.04899600176106574,0.08117369496018008,0.11269851461761338,0.13175791229535533,0.6743698781268512,0.5,-4.86014986038208,-4.872714519500732,-8.291854858398438,0.4950873191319053,0.48890563245137014,0.01600704841672458,0.9720298647880554,2.414228916168213,2.570478916168213,0.08117369496018008,0.11269851461761338,0.13175791229535533
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.613255500793457,-1.8582181930541992,-2.6527817249298096,-3.519505500793457,2.613255500793457,0.9291090965270996,1.3263908624649048,3.519505500793457,0.2225698183746568,0.47355977744015315,0.2139440684967122,0.08992633568847777,0.254015878312434,0.04714605676332989,0.07014272815292667,0.6286953367713094,0.5,-4.994176387786865,-6.691708564758301,-7.640803337097168,0.7974323717767645,0.14603770675545782,0.0565299214677776,0.8323628306388855,0.9291090965270996,1.3263908624649048,0.254015878312434,0.04714605676332989,0.07014272815292667
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.2995476722717285,-1.6956920623779297,-3.0182976722717285,-2.952833652496338,2.2995476722717285,0.8478460311889648,3.0182976722717285,1.476416826248169,0.26063033077531667,0.4767339869855565,0.12702107863088502,0.1356146036082418,0.26844966396899317,0.06286325325704176,0.5508229458519897,0.11786413692197559,0.5,-6.134011745452881,-4.544860363006592,-7.624798774719238,0.16327104695705774,0.7999610724059266,0.036767880637015665,1.2268023490905762,0.8478460311889648,3.0182976722717285,0.26844966396899317,0.06286325325704176,0.5508229458519897
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.03167724609375,-1.55511474609375,-3.60980224609375,-2.93011474609375,3.03167724609375,1.55511474609375,3.60980224609375,2.93011474609375,0.14193015417596203,0.6213518853901905,0.07961560087927437,0.15710235955457294,0.25545792242860244,0.058352091895551364,0.45540298528602846,0.23078700038981767,0.5,-6.836530685424805,-6.342735767364502,-6.255197525024414,0.22588948330303563,0.37012499976757374,0.4039855169293907,1.7091326713562012,1.55511474609375,3.60980224609375,0.25545792242860244,0.058352091895551364,0.45540298528602846
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.7724449634552,-1.9565619230270386,-2.956562042236328,-3.1606838703155518,1.3862224817276,1.9565619230270386,2.956562042236328,1.5803419351577759,0.2095882346080647,0.47391494217503455,0.17434354330677693,0.1421532799101239,0.11374766424472468,0.20120453239930283,0.5469306894238392,0.1381171139321333,0.5,-5.665317058563232,-5.72974967956543,-6.007430553436279,0.37766249105153993,0.35409608219836375,0.2682414267500964,1.416329264640808,1.9565619230270386,2.956562042236328,0.11374766424472468,0.20120453239930283,0.5469306894238392
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-1.8709663152694702,-2.9256539344787598,-2.4647164344787598,-3.830418348312378,1.8709663152694702,2.9256539344787598,2.4647164344787598,1.915209174156189,0.48983849031021703,0.17061134031109776,0.2705144742101321,0.06903569516855325,0.14865289407104015,0.4267940752310382,0.26917564919443265,0.15537738150348895,0.5,-5.091330051422119,-5.824873447418213,-6.122795104980469,0.5444580703718573,0.261451170522821,0.19409075910532167,1.018265962600708,2.9256539344787598,2.4647164344787598,0.14865289407104015,0.4267940752310382,0.26917564919443265
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.3344922065734863,-2.5532422065734863,-2.9054460525512695,-3.6782422065734863,2.3344922065734863,2.5532422065734863,1.4527230262756348,3.6782422065734863,0.3803185989822712,0.3055945794760523,0.21487478730343884,0.0992120342382377,0.154036646293313,0.19170170364488182,0.06377883252854916,0.5904828175332562,0.5,-5.361124038696289,-6.674737930297852,-5.942274570465088,0.5470156469768814,0.1470633601711201,0.30592099285199836,1.0722248554229736,2.5532422065734863,1.4527230262756348,0.154036646293313,0.19170170364488182,0.06377883252854916
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.7217519283294678,-1.9483144283294678,-2.9561269283294678,-2.9326894283294678,2.7217519283294678,1.9483144283294678,2.9561269283294678,2.9326894283294678,0.20972745220374425,0.454522010840222,0.16590807022590512,0.16984246673012848,0.25250116183976523,0.11651014491739327,0.3191913767608308,0.3117973164820108,0.5,-4.716690540313721,-6.246393203735352,-5.795624732971191,0.6424432485298848,0.13915324673274151,0.21840350473737372,0.9433380961418152,1.9483144283294678,2.9561269283294678,0.25250116183976523,0.11651014491739327,0.3191913767608308
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.9853854179382324,-2.4332454204559326,-2.8160579204559326,-3.0504329204559326,1.4926927089691162,2.4332454204559326,2.8160579204559326,3.0504329204559326,0.20582496605131306,0.35751099815371945,0.2438013186397586,0.19286271715520897,0.08288083024639918,0.21229068844816743,0.3113037138162042,0.3935247674892293,0.5,-6.60646390914917,-4.840965747833252,-10.007369995117188,0.1453947766116606,0.8497573188665647,0.004847904521774712,1.6516159772872925,2.4332454204559326,2.8160579204559326,0.08288083024639918,0.21229068844816743,0.3113037138162042
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.497642993927002,-2.122642993927002,-2.638267993927002,-2.982017993927002,2.497642993927002,2.122642993927002,2.638267993927002,2.982017993927002,0.25381428305793613,0.3692976027567711,0.22051767061529398,0.1563704435699988,0.224142755045218,0.15405091246124944,0.25798672966068853,0.36381960283284404,0.5,-5.980157375335693,-5.248791694641113,-5.772080421447754,0.23206032367374543,0.4822019619073444,0.28573771441891016,1.1960314512252808,2.122642993927002,2.638267993927002,0.224142755045218,0.15405091246124944,0.25798672966068853
