trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.6245298385620117,-2.6792173385620117,-2.6870298385620117,-2.6089048385620117,2.6245298385620117,2.6792173385620117,2.6870298385620117,2.6089048385620117,0.25315795320658857,0.24632944933140538,0.2453691018198328,0.25514349564217326,0.24681105512286425,0.25365290960237924,0.2546456790209128,0.24489035625384367,0.5,-6.363065719604492,-7.625040531158447,-8.681842803955078,0.7238570404606689,0.2049198861333901,0.07122307340594114,1.2726131677627563,1.5250080823898315,1.7363684177398682,0.2579222099470425,0.3319727682641673,0.41010502178879016
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.909224510192871,-2.5695817470550537,-4.132571220397949,-2.682662010192871,2.909224510192871,1.2847908735275269,2.0662856101989746,2.682662010192871,0.2599102182673579,0.30801782004639294,0.14098632529082725,0.29108563639542195,0.3341291714170969,0.14831091402176994,0.21921614553181054,0.2983437690293225,0.5,-7.330782890319824,-6.461169242858887,-8.789615631103516,0.2763578850858649,0.6593868303732178,0.06425528454091742,1.2217973470687866,1.2922338247299194,1.7579231262207031,0.26438604139978217,0.28367998536881056,0.4519339732314072
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.3120229244232178,-3.225433588027954,-3.4682729244232178,-3.5344152450561523,2.3120229244232178,1.612716794013977,3.4682729244232178,1.7672076225280762,0.36536121007909833,0.2314077136920331,0.2049490641880298,0.19828201204083862,0.23534012730781653,0.1658989308753866,0.4195391378536233,0.1792218039631737,0.5,-6.18794059753418,-6.694948196411133,-7.743808746337891,0.5514803267012317,0.3321539501914909,0.1163657231072775,1.2375881671905518,1.3389896154403687,1.5487618446350098,0.288039412386278,0.3187792215068496,0.3931813661068724
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.4037318229675293,-2.2474818229675293,-3.1068568229675293,-3.4115443229675293,3.4037318229675293,2.2474818229675293,3.1068568229675293,3.4115443229675293,0.20247774404781535,0.360955605591472,0.23487829222746398,0.20168835813324879,0.2918074815518252,0.1636891618958805,0.25155377280957336,0.2929495837427209,0.5,-6.322787761688232,-6.860872268676758,-7.792971611022949,0.5513442686437698,0.3219109369716734,0.12674479438455688,1.580696940422058,1.715218186378479,1.9482429027557373,0.2786931967494202,0.3188219413908547,0.40248486185972515
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.47131609916687,-2.5386712551116943,-4.054296493530273,-3.330939769744873,1.235658049583435,2.5386712551116943,4.054296493530273,1.6654698848724365,0.3256603744951107,0.3148755446232518,0.14757917997118078,0.21188490091045675,0.12119240529216734,0.23249902043368423,0.49606086507409075,0.15024770920005762,0.5,-6.2532877922058105,-5.827421188354492,-6.692618370056152,0.3149225177693912,0.48212009226073294,0.20295738996987586,1.5633219480514526,1.1654841899871826,1.3385236263275146,0.40478483415916783,0.27192271616737507,0.3232924496734571
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.1013495922088623,-3.1482245922088623,-2.5700995922088623,-3.6935787200927734,2.1013495922088623,3.1482245922088623,2.5700995922088623,1.8467893600463867,0.35278051166216756,0.2090155358795556,0.27907235456385676,0.15913159789442,0.2069354406246142,0.34926968618569615,0.2615909079875669,0.18220396520212268,0.5,-6.489751815795898,-6.286794185638428,-5.925402641296387,0.25104663696482854,0.30753729260902674,0.4414160704261448,1.2979503870010376,1.047798991203308,1.1850805282592773,0.37425853000434645,0.2914287118161894,0.3343127581794642
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.825061798095703,-3.153186798095703,-3.592459201812744,-2.754749298095703,2.825061798095703,3.153186798095703,1.796229600906372,2.754749298095703,0.28044141061396227,0.23800753392769297,0.19107502012810265,0.29047603533024213,0.267265906340709,0.3149161984341983,0.1597848093011742,0.2580330859239185,0.5,-6.886810779571533,-6.465781211853027,-8.281377792358398,0.3608193885235335,0.5497189194546376,0.08946169202182892,1.3773621320724487,1.2931562662124634,2.0703444480895996,0.25517284515124733,0.23456559551985906,0.5102615593288936
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.1320621967315674,-2.4992496967315674,-2.6398746967315674,-3.1633121967315674,3.1320621967315674,2.4992496967315674,2.6398746967315674,3.1633121967315674,0.21571698849411478,0.29600417534447804,0.2759062295874146,0.21237260657399265,0.28357853732252075,0.20666163915285898,0.22171557403490572,0.2880442494897144,0.5,-6.109545707702637,-6.407561302185059,-7.743503570556641,0.5161435752950956,0.38312809271286224,0.10072833199204217,1.2219091653823853,1.2815122604370117,1.5487006902694702,0.2900292938411034,0.30784149570630165,0.402129210452595
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.370551109313965,-3.02593731880188,-3.21343731880188,-3.43999981880188,1.6852755546569824,3.02593731880188,3.21343731880188,3.43999981880188,0.2360918917161255,0.2804871733682187,0.2553864775859611,0.22803445732969468,0.13321871897213494,0.2604271488427947,0.2860232677067759,0.32033086447829456,0.5,-6.250215530395508,-6.47909688949585,-7.550236225128174,0.4835709079264518,0.3846433727757172,0.13178571929783098,1.562553882598877,1.6197742223739624,1.510047197341919,0.3324758694414798,0.3520550741909414,0.3154690563675788
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.660231590270996,-2.683669090270996,-3.144606590270996,-2.746169090270996,2.660231590270996,2.683669090270996,3.144606590270996,2.746169090270996,0.2680102940591621,0.2648878795562507,0.21036369010870185,0.25673813627588515,0.23096149693361198,0.2336839979738549,0.2942525807449746,0.24110192434755845,0.5,-6.6710896492004395,-6.673098564147949,-6.367885589599609,0.2983129916948511,0.2977143078206351,0.4039727004845139,1.33421790599823,1.3346197605133057,1.2735772132873535,0.3399552906620846,0.340091930683427,0.31995277865448846
