trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,production_decoded,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg,interpretation_decoded
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-38.14910125732422,-39.40099334716797,-39.21247482299805,-40.38798522949219,-12.7163667678833,-13.13366413116455,-13.07082462310791,-13.462661743164062,0.40835825078369437,0.2183717334402113,0.23995659958801674,0.1333134161880776,0.29959566299348606,0.24317591072915432,0.2509377368337201,0.20629068944363962,,0.5,-103.90531921386719,-105.63319396972656,-104.47032165527344,0.5727310133198188,0.10175229861658101,0.3255166880636002,-14.84361743927002,-15.090456008911133,-14.924331665039062,0.3515754870253964,0.31075510560583575,0.3376694073687678,
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-61.265724182128906,-60.98598861694336,-82.82750701904297,-39.29302978515625,-15.316431045532227,-15.24649715423584,-16.565502166748047,-13.097676277160645,1.6930673138502484e-05,1.947233495638493e-05,3.5204045394067303e-10,0.9999635966398647,0.17845781138849992,0.1848083178430606,0.09556595734393256,0.541167913424507,,0.5,-152.95689392089844,-126.90961456298828,-122.99772644042969,9.556471311163186e-14,0.019610436209338285,0.9803895637905661,-16.995210647583008,-15.863700866699219,-15.374714851379395,0.19963101072941633,0.3515055872692726,0.448863402001311,
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-60.3370361328125,-86.98733520507812,-38.320308685302734,-66.01569366455078,-15.084259033203125,-17.3974666595459,-12.773436546325684,-16.503923416137695,1.6562304558092502e-05,2.7044680327792566e-11,0.9999824693549766,9.683134206401925e-07,0.20073838252853377,0.06314278987144036,0.6374104038961466,0.09870842370387929,,0.5,-108.29735565185547,-109.24424743652344,-128.92880249023438,0.720489660844803,0.2795103383654203,7.897765551974186e-10,-15.471051216125488,-15.606321334838867,-16.116100311279297,0.37609260023463353,0.3514967028333355,0.27241069693203085,
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-42.73820495605469,-60.757293701171875,-39.09211730957031,-38.453514099121094,-14.246068000793457,-15.189323425292969,-13.030705451965332,-12.817837715148926,0.06365294904332869,7.780779784476116e-06,0.3940546003847661,0.5422846697921208,0.1817344739912654,0.11339972604167593,0.33369518685903143,0.37117061310802724,,0.5,-97.08467102050781,-77.81437683105469,-101.10589599609375,4.275801811899044e-09,0.9999999956475287,7.666934439504249e-11,-13.86923885345459,-12.969062805175781,-14.443699836730957,0.3013147262748485,0.47259715501148797,0.2260881187136635,
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-61.82532501220703,-63.619903564453125,-44.5002326965332,-43.17677307128906,-15.456331253051758,-15.904975891113281,-14.83341121673584,-14.392257690429688,5.8856608241076544e-05,2.399426493732007e-05,0.3403229418657787,0.6595942072610429,0.20547082832777128,0.16418301491419582,0.280553401748674,0.34979275500935886,,0.5,-78.375244140625,-105.76143646240234,-99.74627685546875,0.9999999994755097,1.2774025950169284e-12,5.232128710966578e-10,-13.062541007995605,-15.108777046203613,-14.249467849731445,0.523044535114765,0.1880200478263329,0.28893541705890213,
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-38.250797271728516,-43.735198974609375,-60.60372543334961,-60.482582092285156,-12.750266075134277,-14.578399658203125,-15.150931358337402,-15.120645523071289,0.9394458854321236,0.06052698910224945,1.3152099662619581e-05,1.3973365964270908e-05,0.49808913519424086,0.1996792353522316,0.14997166942241869,0.15225996003110887,,0.5,-136.16944885253906,-157.34539794921875,-116.40000915527344,2.5956218896184403e-09,1.6506066340643147e-18,0.9999999974043782,-17.021181106567383,-17.48282241821289,-16.628572463989258,0.3321399535876615,0.2636798746195205,0.40418017179281795,
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-60.48784637451172,-43.07951354980469,-82.03822326660156,-39.219905853271484,-15.12196159362793,-14.359837532043457,-16.407644271850586,-13.073302268981934,2.1030217717454657e-05,0.1267696266362807,4.397834533499487e-10,0.8732093427062184,0.17316429518749774,0.2534845457826865,0.09104915157399504,0.48230200745582075,,0.5,-128.14291381835938,-125.26301574707031,-98.36920166015625,1.173386544942987e-13,2.0900897946732294e-12,0.9999999999977925,-16.017864227294922,-15.657876968383789,-14.052742958068848,0.20540218342359357,0.24590949383550995,0.5486883227408965,
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-43.146602630615234,-38.04841613769531,-41.45036315917969,-39.35271453857422,-14.382201194763184,-12.682805061340332,-13.816787719726562,-13.117571830749512,0.04386687978106544,0.5612984917631562,0.10244021131639305,0.2923944171393853,0.152727291227824,0.3572200532145591,0.20262574529582691,0.28742691026179007,,0.5,-106.8759765625,-105.38765716552734,-108.33238220214844,0.17659366457616568,0.7822472054347598,0.04115912998907439,-15.267996788024902,-15.055379867553711,-15.476054191589355,0.3318549952949092,0.36907747176411115,0.2990675329409796,
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-85.12593078613281,-43.891395568847656,-62.34641647338867,-41.09337615966797,-17.02518653869629,-14.630465507507324,-15.586604118347168,-13.697792053222656,2.201063763214841e-10,0.19796945080362421,1.9459931498467995e-05,0.802011089044771,0.08588752504610421,0.2844049513440884,0.17632516205204404,0.4533823615577635,,0.5,-79.41523742675781,-77.49052429199219,-110.7986068725586,0.12733691177017536,0.8726630882298216,2.9876528901831394e-15,-13.235873222351074,-12.915087699890137,-15.82837200164795,0.40857555240039284,0.47965620573353884,0.11176824186606833,
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-38.813812255859375,-38.59406280517578,-61.35686492919922,-40.228477478027344,-12.93793773651123,-12.8646879196167,-15.339216232299805,-13.409492492675781,0.3832727033170532,0.4277853197016897,4.879172799667728e-06,0.1889370978084576,0.3196663076955142,0.33159109614431087,0.09622011345254039,0.2525224827076346,,0.5,-123.58547973632812,-124.56953430175781,-102.88644409179688,1.0245261274506272e-09,3.8296013766490423e-10,0.9999999985925137,-15.448183059692383,-15.571191787719727,-14.698063850402832,0.2945137695094119,0.2769456821216183,0.4285405483689697,
